"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"acc_poszczegolnych_k1s",0.733333333333333,0.62,0.733333333333333,0.74,0.653333333333333,0.773333333333333,0.766666666666667,0.673333333333333,0.653333333333333,0.86,0.726666666666667,0.693333333333333,0.786666666666667,0.693333333333333,0.593333333333333,0.7,0.766666666666667,0.753333333333333,0.846666666666667,0.76,0.666666666666667,0.72,0.713333333333333,0.706666666666667,0.786666666666667,0.646666666666667,0.773333333333333,0.693333333333333,0.666666666666667,0.626666666666667,0.713333333333333,0.66,0.686666666666667,0.626666666666667,0.68,0.693333333333333,0.766666666666667,0.706666666666667,0.726666666666667,0.82,0.7,0.786666666666667,0.706666666666667,0.706666666666667,0.78,0.686666666666667,0.773333333333333,0.74,0.766666666666667,0.673333333333333
"acc_poszczegolnych_k3s",0.706666666666667,0.553333333333333,0.706666666666667,0.733333333333333,0.533333333333333,0.72,0.7,0.653333333333333,0.573333333333333,0.733333333333333,0.746666666666667,0.653333333333333,0.826666666666667,0.7,0.633333333333333,0.766666666666667,0.68,0.686666666666667,0.786666666666667,0.7,0.64,0.666666666666667,0.673333333333333,0.653333333333333,0.8,0.553333333333333,0.726666666666667,0.7,0.606666666666667,0.646666666666667,0.673333333333333,0.64,0.613333333333333,0.646666666666667,0.653333333333333,0.693333333333333,0.74,0.633333333333333,0.78,0.753333333333333,0.64,0.74,0.7,0.693333333333333,0.706666666666667,0.646666666666667,0.766666666666667,0.68,0.8,0.666666666666667
"acc_poszczegolnych_k5s",0.633333333333333,0.593333333333333,0.713333333333333,0.726666666666667,0.54,0.68,0.713333333333333,0.633333333333333,0.58,0.8,0.626666666666667,0.6,0.833333333333333,0.66,0.6,0.726666666666667,0.66,0.673333333333333,0.826666666666667,0.68,0.626666666666667,0.62,0.633333333333333,0.7,0.833333333333333,0.553333333333333,0.706666666666667,0.68,0.586666666666667,0.673333333333333,0.68,0.686666666666667,0.62,0.613333333333333,0.653333333333333,0.646666666666667,0.72,0.606666666666667,0.7,0.733333333333333,0.653333333333333,0.72,0.706666666666667,0.653333333333333,0.72,0.62,0.733333333333333,0.633333333333333,0.746666666666667,0.646666666666667
"acc_poszczegolnych_k7s",0.68,0.58,0.66,0.706666666666667,0.566666666666667,0.68,0.686666666666667,0.62,0.553333333333333,0.793333333333333,0.64,0.593333333333333,0.786666666666667,0.66,0.58,0.706666666666667,0.713333333333333,0.673333333333333,0.813333333333333,0.6,0.613333333333333,0.533333333333333,0.673333333333333,0.633333333333333,0.806666666666667,0.54,0.693333333333333,0.666666666666667,0.58,0.613333333333333,0.626666666666667,0.64,0.62,0.626666666666667,0.6,0.58,0.746666666666667,0.606666666666667,0.733333333333333,0.673333333333333,0.64,0.706666666666667,0.633333333333333,0.58,0.686666666666667,0.613333333333333,0.746666666666667,0.586666666666667,0.76,0.613333333333333
"acc_poszczegolnych_k9s",0.653333333333333,0.573333333333333,0.613333333333333,0.64,0.62,0.626666666666667,0.66,0.653333333333333,0.54,0.766666666666667,0.62,0.56,0.746666666666667,0.573333333333333,0.593333333333333,0.606666666666667,0.7,0.673333333333333,0.806666666666667,0.546666666666667,0.626666666666667,0.6,0.613333333333333,0.64,0.72,0.56,0.68,0.626666666666667,0.546666666666667,0.586666666666667,0.6,0.633333333333333,0.58,0.64,0.613333333333333,0.66,0.74,0.646666666666667,0.713333333333333,0.613333333333333,0.593333333333333,0.633333333333333,0.613333333333333,0.673333333333333,0.66,0.613333333333333,0.733333333333333,0.66,0.7,0.6
