"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"acc_poszczegolnych_k1s",0.821428571428571,0.857142857142857,0.964285714285714,0.928571428571429,0.928571428571429,0.892857142857143,0.857142857142857,0.928571428571429,0.964285714285714,0.892857142857143,0.821428571428571,0.928571428571429,0.928571428571429,0.785714285714286,0.821428571428571,0.892857142857143,0.857142857142857,0.928571428571429,0.928571428571429,0.821428571428571,0.857142857142857,0.821428571428571,0.928571428571429,0.857142857142857,0.964285714285714,0.857142857142857,0.821428571428571
"acc_poszczegolnych_k3s",0.821428571428571,0.821428571428571,0.892857142857143,0.821428571428571,0.857142857142857,0.642857142857143,0.857142857142857,0.857142857142857,0.857142857142857,0.928571428571429,0.714285714285714,0.75,0.928571428571429,0.714285714285714,0.785714285714286,0.75,0.821428571428571,0.785714285714286,0.892857142857143,0.714285714285714,0.785714285714286,0.821428571428571,0.785714285714286,0.821428571428571,0.821428571428571,0.75,0.75
"acc_poszczegolnych_k5s",0.821428571428571,0.75,0.892857142857143,0.785714285714286,0.714285714285714,0.857142857142857,0.785714285714286,0.892857142857143,0.892857142857143,0.857142857142857,0.821428571428571,0.785714285714286,0.785714285714286,0.785714285714286,0.75,0.75,0.857142857142857,0.75,0.821428571428571,0.857142857142857,0.75,0.857142857142857,0.714285714285714,0.821428571428571,0.75,0.714285714285714,0.785714285714286
"acc_poszczegolnych_k7s",0.75,0.892857142857143,0.892857142857143,0.857142857142857,0.714285714285714,0.642857142857143,0.928571428571429,0.785714285714286,0.892857142857143,0.785714285714286,0.75,0.714285714285714,0.785714285714286,0.678571428571429,0.785714285714286,0.821428571428571,0.964285714285714,0.75,0.785714285714286,0.75,0.75,0.892857142857143,0.821428571428571,0.785714285714286,0.75,0.714285714285714,0.75
"acc_poszczegolnych_k9s",0.678571428571429,0.821428571428571,0.857142857142857,0.785714285714286,0.607142857142857,0.714285714285714,0.678571428571429,0.785714285714286,0.892857142857143,0.821428571428571,0.714285714285714,0.785714285714286,0.75,0.607142857142857,0.785714285714286,0.857142857142857,0.964285714285714,0.678571428571429,0.714285714285714,0.75,0.785714285714286,0.821428571428571,0.75,0.785714285714286,0.642857142857143,0.678571428571429,0.678571428571429
