"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"acc_poszczegolnych_k1s",0.933333333333333,0.9,0.9,0.933333333333333,0.916666666666667,0.95,0.883333333333333,0.9,0.933333333333333,0.933333333333333,0.933333333333333,0.9,0.933333333333333,0.916666666666667,0.95,0.866666666666667,0.95,0.983333333333333,0.916666666666667,0.933333333333333,0.966666666666667,0.95,0.933333333333333
"acc_poszczegolnych_k3s",0.9,0.933333333333333,0.933333333333333,0.966666666666667,0.933333333333333,0.983333333333333,0.95,0.966666666666667,0.916666666666667,0.933333333333333,0.933333333333333,0.9,0.933333333333333,0.933333333333333,0.933333333333333,0.966666666666667,0.966666666666667,0.916666666666667,0.95,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333
"acc_poszczegolnych_k5s",0.95,0.95,0.95,0.966666666666667,0.933333333333333,0.933333333333333,0.95,0.983333333333333,0.916666666666667,0.933333333333333,0.916666666666667,0.95,0.9,0.966666666666667,0.983333333333333,0.933333333333333,0.966666666666667,0.916666666666667,0.95,0.983333333333333,0.966666666666667,0.9,0.933333333333333
"acc_poszczegolnych_k7s",0.933333333333333,0.95,0.933333333333333,0.966666666666667,0.933333333333333,0.933333333333333,0.966666666666667,0.933333333333333,0.916666666666667,0.966666666666667,0.916666666666667,0.95,0.9,0.916666666666667,0.95,0.933333333333333,0.95,0.95,0.95,0.95,0.95,0.983333333333333,0.933333333333333
"acc_poszczegolnych_k9s",0.95,0.933333333333333,0.95,0.933333333333333,0.95,0.916666666666667,0.95,0.966666666666667,0.883333333333333,0.966666666666667,0.916666666666667,0.933333333333333,0.933333333333333,0.966666666666667,0.933333333333333,0.916666666666667,0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,0.9,0.95,0.933333333333333
