"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"acc_poszczegolnych_k1",0.869281045751634,0.888888888888889,0.866013071895425,0.888888888888889,0.88562091503268,0.888888888888889,0.882352941176471,0.888888888888889,0.88562091503268,0.882352941176471,0.862745098039216,0.879084967320261,0.866013071895425,0.882352941176471,0.875816993464052,0.88562091503268
"acc_poszczegolnych_k3",0.872549019607843,0.882352941176471,0.888888888888889,0.879084967320261,0.88562091503268,0.88562091503268,0.888888888888889,0.882352941176471,0.888888888888889,0.88562091503268,0.830065359477124,0.888888888888889,0.843137254901961,0.875816993464052,0.875816993464052,0.888888888888889
"acc_poszczegolnych_k5",0.836601307189543,0.830065359477124,0.849673202614379,0.856209150326797,0.843137254901961,0.813725490196078,0.882352941176471,0.810457516339869,0.869281045751634,0.879084967320261,0.761437908496732,0.862745098039216,0.758169934640523,0.803921568627451,0.862745098039216,0.839869281045752
"acc_poszczegolnych_k7",0.748366013071895,0.800653594771242,0.790849673202614,0.738562091503268,0.738562091503268,0.790849673202614,0.748366013071895,0.722222222222222,0.836601307189543,0.813725490196078,0.676470588235294,0.781045751633987,0.696078431372549,0.712418300653595,0.80718954248366,0.803921568627451
"acc_poszczegolnych_k9",0.689542483660131,0.748366013071895,0.709150326797386,0.588235294117647,0.683006535947712,0.683006535947712,0.666666666666667,0.490196078431373,0.689542483660131,0.758169934640523,0.627450980392157,0.581699346405229,0.57516339869281,0.584967320261438,0.69281045751634,0.718954248366013
