"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"acc_poszczegolnych_k1s",0.859477124183007,0.888888888888889,0.888888888888889,0.892156862745098,0.892156862745098,0.882352941176471,0.88562091503268,0.888888888888889,0.888888888888889,0.892156862745098,0.892156862745098,0.879084967320261,0.875816993464052,0.882352941176471,0.888888888888889,0.888888888888889
"acc_poszczegolnych_k3s",0.872549019607843,0.88562091503268,0.879084967320261,0.875816993464052,0.88562091503268,0.88562091503268,0.888888888888889,0.88562091503268,0.88562091503268,0.882352941176471,0.879084967320261,0.872549019607843,0.875816993464052,0.879084967320261,0.888888888888889,0.88562091503268
"acc_poszczegolnych_k5s",0.849673202614379,0.862745098039216,0.833333333333333,0.888888888888889,0.823529411764706,0.869281045751634,0.810457516339869,0.790849673202614,0.84640522875817,0.869281045751634,0.849673202614379,0.843137254901961,0.843137254901961,0.839869281045752,0.849673202614379,0.862745098039216
"acc_poszczegolnych_k7s",0.777777777777778,0.803921568627451,0.683006535947712,0.777777777777778,0.696078431372549,0.820261437908497,0.669934640522876,0.69281045751634,0.790849673202614,0.823529411764706,0.781045751633987,0.72875816993464,0.816993464052288,0.741830065359477,0.76797385620915,0.862745098039216
"acc_poszczegolnych_k9s",0.715686274509804,0.683006535947712,0.601307189542484,0.542483660130719,0.660130718954248,0.72875816993464,0.601307189542484,0.620915032679739,0.754901960784314,0.718954248366013,0.624183006535948,0.516339869281046,0.705882352941177,0.617647058823529,0.542483660130719,0.751633986928105
