"","2","3","4","5","6","7","10","12","13","14","15","16","17","19","20","22","23","24","26","27","28","29","30","33","34","36","39","40","41","42","44","46","47","49","51","52","53","55","56","57","58","59","60","61","63","64"
"acc_poszczegolnych_k1",0.515625,0.546875,0.46875,0.640625,0.546875,0.546875,0.546875,0.453125,0.5625,0.515625,0.5,0.53125,0.5625,0.421875,0.53125,0.5625,0.5,0.578125,0.5625,0.578125,0.515625,0.609375,0.578125,0.515625,0.515625,0.53125,0.515625,0.546875,0.546875,0.5625,0.59375,0.5,0.4375,0.546875,0.5625,0.578125,0.578125,0.578125,0.546875,0.578125,0.515625,0.5,0.546875,0.59375,0.484375,0.609375
"acc_poszczegolnych_k3",0.546875,0.578125,0.5625,0.578125,0.578125,0.5625,0.546875,0.609375,0.625,0.546875,0.515625,0.5625,0.59375,0.5625,0.5625,0.53125,0.609375,0.5625,0.609375,0.609375,0.5625,0.578125,0.546875,0.59375,0.5625,0.578125,0.5625,0.59375,0.515625,0.640625,0.578125,0.53125,0.53125,0.546875,0.609375,0.546875,0.546875,0.59375,0.59375,0.546875,0.609375,0.5625,0.578125,0.546875,0.578125,0.5625
"acc_poszczegolnych_k5",0.59375,0.578125,0.53125,0.578125,0.59375,0.578125,0.5625,0.578125,0.578125,0.546875,0.5625,0.546875,0.578125,0.578125,0.59375,0.59375,0.578125,0.59375,0.578125,0.609375,0.59375,0.59375,0.609375,0.578125,0.578125,0.578125,0.5625,0.578125,0.578125,0.59375,0.578125,0.578125,0.609375,0.578125,0.5625,0.578125,0.609375,0.578125,0.59375,0.578125,0.59375,0.578125,0.59375,0.578125,0.578125,0.609375
"acc_poszczegolnych_k7",0.546875,0.578125,0.578125,0.59375,0.59375,0.578125,0.59375,0.59375,0.578125,0.5625,0.59375,0.578125,0.578125,0.609375,0.59375,0.59375,0.59375,0.59375,0.578125,0.578125,0.59375,0.59375,0.59375,0.59375,0.578125,0.578125,0.59375,0.59375,0.59375,0.5625,0.59375,0.578125,0.59375,0.578125,0.59375,0.578125,0.59375,0.578125,0.578125,0.59375,0.59375,0.59375,0.59375,0.578125,0.609375,0.578125
"acc_poszczegolnych_k9",0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.53125,0.578125,0.59375,0.578125,0.578125,0.59375,0.59375,0.59375,0.59375,0.59375,0.578125,0.59375,0.59375,0.578125,0.59375,0.578125,0.578125,0.578125,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.625,0.578125,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375
