"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"acc_poszczegolnych_k1",0.570175438596491,0.578947368421053,0.543859649122807,0.552631578947368,0.543859649122807,0.592105263157895,0.62280701754386,0.592105263157895,0.504385964912281,0.565789473684211,0.618421052631579,0.583333333333333,0.539473684210526,0.56140350877193,0.517543859649123,0.548245614035088,0.548245614035088,0.539473684210526,0.517543859649123,0.504385964912281,0.552631578947368,0.530701754385965,0.557017543859649,0.557017543859649,0.570175438596491,0.543859649122807,0.578947368421053,0.526315789473684,0.535087719298246,0.530701754385965,0.635964912280702,0.539473684210526,0.504385964912281,0.565789473684211,0.521929824561403,0.56140350877193,0.548245614035088,0.508771929824561,0.508771929824561,0.539473684210526
"acc_poszczegolnych_k3",0.574561403508772,0.565789473684211,0.508771929824561,0.491228070175439,0.574561403508772,0.565789473684211,0.548245614035088,0.570175438596491,0.513157894736842,0.530701754385965,0.587719298245614,0.62719298245614,0.552631578947368,0.583333333333333,0.548245614035088,0.543859649122807,0.596491228070175,0.521929824561403,0.535087719298246,0.574561403508772,0.495614035087719,0.535087719298246,0.592105263157895,0.56140350877193,0.535087719298246,0.526315789473684,0.539473684210526,0.574561403508772,0.578947368421053,0.570175438596491,0.570175438596491,0.570175438596491,0.473684210526316,0.56140350877193,0.526315789473684,0.552631578947368,0.513157894736842,0.565789473684211,0.570175438596491,0.592105263157895
"acc_poszczegolnych_k5",0.583333333333333,0.513157894736842,0.535087719298246,0.508771929824561,0.56140350877193,0.539473684210526,0.543859649122807,0.600877192982456,0.526315789473684,0.565789473684211,0.605263157894737,0.574561403508772,0.526315789473684,0.521929824561403,0.535087719298246,0.574561403508772,0.596491228070175,0.495614035087719,0.508771929824561,0.530701754385965,0.504385964912281,0.535087719298246,0.614035087719298,0.574561403508772,0.513157894736842,0.530701754385965,0.513157894736842,0.557017543859649,0.574561403508772,0.539473684210526,0.535087719298246,0.600877192982456,0.513157894736842,0.539473684210526,0.548245614035088,0.570175438596491,0.517543859649123,0.504385964912281,0.578947368421053,0.548245614035088
"acc_poszczegolnych_k7",0.486842105263158,0.513157894736842,0.539473684210526,0.495614035087719,0.491228070175439,0.56140350877193,0.552631578947368,0.539473684210526,0.552631578947368,0.530701754385965,0.614035087719298,0.539473684210526,0.504385964912281,0.5,0.543859649122807,0.570175438596491,0.552631578947368,0.513157894736842,0.508771929824561,0.508771929824561,0.521929824561403,0.495614035087719,0.56140350877193,0.543859649122807,0.504385964912281,0.504385964912281,0.539473684210526,0.530701754385965,0.543859649122807,0.539473684210526,0.535087719298246,0.570175438596491,0.486842105263158,0.473684210526316,0.539473684210526,0.557017543859649,0.535087719298246,0.517543859649123,0.517543859649123,0.578947368421053
"acc_poszczegolnych_k9",0.521929824561403,0.491228070175439,0.535087719298246,0.5,0.526315789473684,0.526315789473684,0.548245614035088,0.539473684210526,0.570175438596491,0.539473684210526,0.508771929824561,0.517543859649123,0.530701754385965,0.513157894736842,0.530701754385965,0.539473684210526,0.526315789473684,0.517543859649123,0.517543859649123,0.5,0.517543859649123,0.5,0.535087719298246,0.508771929824561,0.486842105263158,0.539473684210526,0.526315789473684,0.592105263157895,0.557017543859649,0.552631578947368,0.486842105263158,0.592105263157895,0.535087719298246,0.513157894736842,0.530701754385965,0.583333333333333,0.548245614035088,0.530701754385965,0.535087719298246,0.504385964912281
