"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"acc_poszczegolnych_k1s",0.574561403508772,0.543859649122807,0.56140350877193,0.530701754385965,0.535087719298246,0.535087719298246,0.56140350877193,0.521929824561403,0.504385964912281,0.543859649122807,0.570175438596491,0.578947368421053,0.495614035087719,0.526315789473684,0.539473684210526,0.557017543859649,0.530701754385965,0.539473684210526,0.526315789473684,0.552631578947368,0.504385964912281,0.592105263157895,0.535087719298246,0.583333333333333,0.530701754385965,0.578947368421053,0.535087719298246,0.530701754385965,0.526315789473684,0.587719298245614,0.543859649122807,0.43859649122807,0.596491228070175,0.508771929824561,0.504385964912281,0.56140350877193,0.535087719298246,0.539473684210526,0.486842105263158
"acc_poszczegolnych_k3s",0.605263157894737,0.530701754385965,0.517543859649123,0.495614035087719,0.583333333333333,0.56140350877193,0.543859649122807,0.539473684210526,0.565789473684211,0.565789473684211,0.539473684210526,0.557017543859649,0.526315789473684,0.526315789473684,0.552631578947368,0.535087719298246,0.587719298245614,0.565789473684211,0.543859649122807,0.495614035087719,0.578947368421053,0.596491228070175,0.565789473684211,0.526315789473684,0.543859649122807,0.513157894736842,0.548245614035088,0.557017543859649,0.543859649122807,0.517543859649123,0.552631578947368,0.5,0.557017543859649,0.486842105263158,0.508771929824561,0.539473684210526,0.587719298245614,0.539473684210526,0.508771929824561
"acc_poszczegolnych_k5s",0.530701754385965,0.486842105263158,0.486842105263158,0.517543859649123,0.552631578947368,0.548245614035088,0.521929824561403,0.517543859649123,0.526315789473684,0.513157894736842,0.548245614035088,0.517543859649123,0.5,0.557017543859649,0.539473684210526,0.539473684210526,0.473684210526316,0.530701754385965,0.539473684210526,0.478070175438596,0.535087719298246,0.583333333333333,0.521929824561403,0.521929824561403,0.574561403508772,0.557017543859649,0.535087719298246,0.543859649122807,0.495614035087719,0.56140350877193,0.557017543859649,0.495614035087719,0.526315789473684,0.570175438596491,0.570175438596491,0.5,0.508771929824561,0.535087719298246,0.504385964912281
"acc_poszczegolnych_k7s",0.526315789473684,0.517543859649123,0.508771929824561,0.508771929824561,0.508771929824561,0.521929824561403,0.56140350877193,0.543859649122807,0.543859649122807,0.513157894736842,0.535087719298246,0.504385964912281,0.530701754385965,0.548245614035088,0.565789473684211,0.521929824561403,0.513157894736842,0.526315789473684,0.543859649122807,0.504385964912281,0.504385964912281,0.552631578947368,0.508771929824561,0.5,0.557017543859649,0.469298245614035,0.526315789473684,0.521929824561403,0.570175438596491,0.543859649122807,0.56140350877193,0.530701754385965,0.5,0.565789473684211,0.548245614035088,0.513157894736842,0.482456140350877,0.513157894736842,0.570175438596491
"acc_poszczegolnych_k9s",0.513157894736842,0.56140350877193,0.504385964912281,0.495614035087719,0.513157894736842,0.521929824561403,0.548245614035088,0.543859649122807,0.530701754385965,0.535087719298246,0.508771929824561,0.521929824561403,0.535087719298246,0.526315789473684,0.526315789473684,0.526315789473684,0.539473684210526,0.530701754385965,0.530701754385965,0.5,0.495614035087719,0.543859649122807,0.543859649122807,0.495614035087719,0.504385964912281,0.504385964912281,0.526315789473684,0.508771929824561,0.548245614035088,0.530701754385965,0.526315789473684,0.513157894736842,0.504385964912281,0.526315789473684,0.596491228070175,0.539473684210526,0.557017543859649,0.56140350877193,0.535087719298246
