"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53"
"1",1,12,19,25,33,38,65,70,100,112,126,148,155,159,168,174,193,223,228,239,286,322,326,330,333,340,345,355,368,390,407,420,424,428,432,441,448,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,7,16,27,39,45,54,63,66,74,80,94,103,143,149,153,174,188,213,229,252,260,268,277,290,301,313,317,334,338,342,366,398,404,415,425,429,434,437,452,469,482,487,493,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,4,21,46,71,83,112,115,133,138,152,172,175,178,184,187,197,206,213,228,246,272,276,279,327,336,342,348,354,363,380,386,414,420,431,447,451,476,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,4,38,43,54,69,88,97,101,105,129,138,146,152,170,176,180,184,203,211,218,227,231,242,259,269,273,287,292,301,309,315,319,326,331,341,357,361,370,378,403,408,412,421,432,464,474,500,503,NA,NA,NA,NA
"5",1,6,12,24,28,46,49,58,78,83,93,96,100,105,115,120,123,140,157,167,171,174,186,190,204,219,227,239,243,253,267,282,286,307,326,335,345,356,363,368,379,390,400,418,427,438,446,455,463,472,483,488,506
"6",1,41,44,47,53,62,75,86,101,139,147,166,187,195,213,241,249,268,306,320,323,326,331,348,355,358,363,376,384,392,407,411,416,428,440,462,474,483,491,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
