"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"acc_poszczegolnych_k1s",0.515625,0.5,0.46875,0.515625,0.53125,0.515625,0.53125,0.484375,0.546875,0.546875,0.515625,0.46875,0.484375,0.484375,0.5625,0.59375,0.53125,0.546875,0.5,0.5625,0.5,0.515625,0.5625,0.40625,0.515625,0.53125,0.5625,0.453125,0.515625,0.578125,0.5625,0.46875
"acc_poszczegolnych_k3s",0.5625,0.59375,0.59375,0.546875,0.5625,0.53125,0.578125,0.53125,0.578125,0.578125,0.53125,0.5625,0.5625,0.609375,0.609375,0.578125,0.53125,0.59375,0.609375,0.515625,0.5625,0.515625,0.59375,0.53125,0.578125,0.546875,0.5625,0.484375,0.53125,0.609375,0.546875,0.53125
"acc_poszczegolnych_k5s",0.578125,0.578125,0.5625,0.5625,0.59375,0.578125,0.546875,0.515625,0.59375,0.59375,0.609375,0.546875,0.578125,0.578125,0.578125,0.5625,0.578125,0.578125,0.578125,0.53125,0.59375,0.546875,0.59375,0.5625,0.546875,0.59375,0.578125,0.5625,0.609375,0.59375,0.5625,0.5625
"acc_poszczegolnych_k7s",0.59375,0.578125,0.5625,0.59375,0.578125,0.5625,0.53125,0.546875,0.59375,0.5625,0.59375,0.53125,0.59375,0.5625,0.578125,0.59375,0.578125,0.59375,0.5625,0.578125,0.609375,0.578125,0.53125,0.59375,0.578125,0.59375,0.59375,0.5625,0.59375,0.59375,0.578125,0.5625
"acc_poszczegolnych_k9s",0.59375,0.59375,0.640625,0.59375,0.59375,0.59375,0.546875,0.609375,0.59375,0.578125,0.578125,0.5625,0.59375,0.609375,0.59375,0.59375,0.59375,0.59375,0.59375,0.5625,0.59375,0.59375,0.609375,0.59375,0.625,0.578125,0.609375,0.578125,0.578125,0.5625,0.578125,0.59375
